fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,fg2,fga2,fg2_pct,result
34,91,0.374,14,43,0.326,9,16,0.563,8,31,39,22,9,4,19,21,20,48,0.416666667,0
48,95,0.505,17,38,0.447,11,14,0.786,10,44,54,29,12,10,17,18,31,57,0.543859649,1
42,86,0.488,10,32,0.313,21,28,0.75,7,40,47,31,8,2,12,22,32,54,0.592592593,1
34,86,0.395,15,34,0.441,22,29,0.759,12,34,46,25,7,3,16,26,19,52,0.365384615,0
44,88,0.5,24,54,0.444,9,17,0.529,6,32,38,34,10,4,11,19,20,34,0.588235294,1
33,83,0.398,17,43,0.395,13,15,0.867,9,37,46,24,5,3,19,18,16,40,0.4,0
41,88,0.466,12,38,0.316,20,24,0.833,11,36,47,26,6,6,13,16,29,50,0.58,1
43,91,0.473,14,36,0.389,9,11,0.818,5,30,35,17,8,9,10,21,29,55,0.527272727,0
37,90,0.411,16,42,0.381,20,23,0.87,13,38,51,16,14,3,19,17,21,48,0.4375,1
39,99,0.394,8,36,0.222,15,21,0.714,16,36,52,20,15,5,15,22,31,63,0.492063492,0
52,97,0.536,15,34,0.441,15,20,0.75,7,35,42,28,5,6,12,22,37,63,0.587301587,0
49,94,0.521,19,38,0.5,18,19,0.947,6,32,38,24,5,6,9,21,30,56,0.535714286,1
34,88,0.386,5,28,0.179,9,15,0.6,11,42,53,14,9,8,23,17,29,60,0.483333333,0
35,84,0.417,11,26,0.423,16,19,0.842,3,39,42,24,13,11,13,17,24,58,0.413793103,1
38,99,0.384,10,34,0.294,9,15,0.6,17,37,54,20,5,3,9,23,28,65,0.430769231,0
37,89,0.416,7,28,0.25,20,27,0.741,12,42,54,23,6,6,10,16,30,61,0.491803279,1
35,91,0.385,9,33,0.273,12,14,0.857,10,45,55,18,4,2,22,25,26,58,0.448275862,0
38,97,0.392,10,39,0.256,16,21,0.762,14,41,55,18,10,5,16,18,28,58,0.482758621,1
42,90,0.467,15,36,0.417,21,25,0.84,13,35,48,26,5,3,11,19,27,54,0.5,1
43,99,0.434,13,39,0.333,15,17,0.882,14,30,44,23,7,4,7,21,30,60,0.5,0
31,89,0.348,9,40,0.225,18,23,0.783,21,40,61,15,10,5,30,22,22,49,0.448979592,0
39,96,0.406,12,38,0.316,6,10,0.6,13,34,47,22,13,8,20,25,27,58,0.465517241,1
43,89,0.483,9,28,0.321,10,15,0.667,7,31,38,27,6,1,14,19,34,61,0.557377049,0
51,94,0.543,21,50,0.42,11,17,0.647,8,40,48,24,8,5,9,15,30,44,0.681818182,1
44,83,0.53,15,35,0.429,18,22,0.818,7,37,44,21,6,5,22,15,29,48,0.604166667,1
48,99,0.485,10,39,0.256,5,6,0.833,10,28,38,29,10,4,13,18,38,60,0.633333333,0
38,91,0.418,14,42,0.333,13,18,0.722,13,37,50,24,6,6,9,22,24,49,0.489795918,1
34,85,0.4,11,37,0.297,16,23,0.696,11,38,49,17,7,6,12,23,23,48,0.479166667,0
43,94,0.457,10,30,0.333,15,19,0.789,10,38,48,26,10,5,12,17,33,64,0.515625,1
38,87,0.437,9,35,0.257,10,12,0.833,9,35,44,18,10,8,17,19,29,52,0.557692308,0
38,86,0.442,15,47,0.319,16,20,0.8,6,37,43,22,10,6,12,22,23,39,0.58974359,1
32,75,0.427,14,32,0.438,19,24,0.792,5,35,40,20,7,4,20,20,18,43,0.418604651,0
45,100,0.45,13,35,0.371,15,18,0.833,18,31,49,25,13,4,17,20,32,65,0.492307692,0
45,84,0.536,16,30,0.533,15,22,0.682,9,27,36,29,10,12,17,14,29,54,0.537037037,1
36,88,0.409,12,43,0.279,26,34,0.765,10,47,57,22,7,4,13,25,24,45,0.533333333,1
37,100,0.37,13,48,0.271,17,25,0.68,16,36,52,20,8,8,12,21,24,52,0.461538462,0
41,88,0.466,17,41,0.415,16,20,0.8,12,35,47,25,4,9,12,17,24,47,0.510638298,1
40,84,0.476,8,31,0.258,15,19,0.789,6,36,42,24,9,4,11,17,32,53,0.603773585,0
43,97,0.443,13,37,0.351,20,24,0.833,14,29,43,26,12,3,7,13,30,60,0.5,1
42,86,0.488,15,46,0.326,8,13,0.615,10,37,47,26,0,4,19,16,27,40,0.675,0
40,91,0.44,9,33,0.273,15,18,0.833,11,25,36,26,7,6,14,15,31,58,0.534482759,0
46,90,0.511,12,32,0.375,18,21,0.857,10,39,49,24,11,3,16,19,34,58,0.586206897,1
33,95,0.347,9,39,0.231,15,20,0.75,10,43,53,16,5,5,12,17,24,56,0.428571429,0
40,94,0.426,10,35,0.286,14,17,0.824,7,47,54,23,6,4,9,19,30,59,0.508474576,1
50,101,0.495,19,50,0.38,21,25,0.84,11,42,53,33,8,9,12,23,31,51,0.607843137,1
46,103,0.447,19,44,0.432,18,28,0.643,14,38,52,26,4,6,14,25,27,59,0.457627119,0
38,82,0.463,7,25,0.28,16,20,0.8,11,38,49,26,8,5,16,18,31,57,0.543859649,1
35,86,0.407,9,38,0.237,8,12,0.667,11,36,47,21,10,3,22,22,26,48,0.541666667,0
41,85,0.482,11,32,0.344,26,31,0.839,7,35,42,24,13,6,14,19,30,53,0.566037736,1
